article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,label,path
111586001,111586,Shape Up 30 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.,pants,pants/0111586001.jpg
120129001,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.,pants,pants/0120129001.jpg
120129014,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010010,Melange,9,Black,4,Dark,12,Grey,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.,pants,pants/0120129014.jpg
120129018,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010016,Solid,43,Dark Red,4,Dark,18,Red,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.,pants,pants/0120129018.jpg
120129025,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,8,Dark Grey,4,Dark,12,Grey,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.,pants,pants/0120129025.jpg
123173001,123173,Control Top 50 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.,pants,pants/0123173001.jpg
129085001,129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.,pants,pants/0129085001.jpg
129085026,129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.,pants,pants/0129085026.jpg
129085027,129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.,pants,pants/0129085027.jpg
146730001,146730,200 den 1p leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Opaque matt leggings with an elasticated waist. 200 denier.,pants,pants/0146730001.jpg
148033001,148033,Nouvelle 1p Stay Up,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.,pants,pants/0148033001.jpg
156231002,156231,Box 4p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Matt tights with an elasticated waist. 20 denier.,pants,pants/0156231002.jpg
